categoryName,sportId,tournamentId,tournamentName
International,10,1,UEFA Euro
International Clubs,10,7,UEFA Champions League
Spain,10,8,LaLiga
Belgium,10,9,Challenger Pro League
International,10,11,"WC Qualification, UEFA"
International,10,12,NIU
International,10,13,"FIFA World Cup, Qualification CAF"
International,10,14,World Cup Qualification CONCACAF
International,10,15,NIU
International,10,16,World Cup
England,10,17,Premier League
England,10,18,Championship
England,10,19,FA Cup
Norway,10,20,Eliteserien
England,10,21,EFL Cup
Norway,10,22,1st Division
Italy,10,23,Serie A
England,10,24,League One
England,10,25,League Two
International Youth,10,26,"U21 UEFA European Championship, Qualification"
International,10,27,"UEFA EURO, Qualification"
International,10,28,AFC Asian Cup QF
Norway,10,29,NM Cup
France,10,34,Ligue 1
Germany,10,35,Bundesliga
Scotland,10,36,Premiership
Netherlands,10,37,Eredivisie
Belgium,10,38,Pro League
Denmark,10,39,Superliga
Sweden,10,40,Allsvenskan
Finland,10,41,Veikkausliiga
Germany Amateur,10,42,Regionalliga North
Germany,10,44,2. Bundesliga
Austria,10,45,Bundesliga
Sweden,10,46,Superettan
Denmark,10,47,1. Division
Norway,10,48,2nd Division
Norway,10,49,"2nd Division, avd. 2"
Norway,10,51,"2nd Division, avd. 4"
Turkiye,10,52,Super Lig
Italy,10,53,Serie B
Spain,10,54,LaLiga 2
Finland,10,55,Ykkosliiga
Denmark,10,65,2nd Division
Denmark,10,66,"2nd Division, Pulje 2"
Sweden,10,67,"Ettan, Norra"
Sweden,10,68,"Ettan, Sodra"
Sweden,10,70,"Division 2, Norra Svealand"
Sweden,10,71,"Division 2, Norrland"
Sweden,10,72,"Division 2, Sodra Gotaland"
Sweden,10,73,"Division 2, Vastra Gotaland"
Sweden,10,74,"Division 2, Sodra Svealand"
Denmark,10,76,DBU Pokalen
Sweden,10,80,Svenska Cup
Finland,10,83,Liigacup
Costa Rica,10,84,Primera Division
Russia,10,91,Russian Cup
Brazil,10,92,Carioca
Brazil,10,93,"Campeonato Carioca, Taca Guanabara"
Brazil,10,94,"Campeonato Carioca, Taca Rio"
Turkiye,10,96,Turkiye Kupasi
Turkiye Amateur,10,97,2. Lig
Turkiye,10,98,1. Lig
Japan,10,101,J.League Cup
Norway Amateur,10,105,"3rd divisjon, Akershus"
Norway Amateur,10,110,"3rd divisjon, Østfold"
Norway Amateur,10,111,"3rd divisjon, Oslo 1"
Norway Amateur,10,120,"3rd divisjon, Oslo 2"
Norway Amateur,10,126,"3rd divisjon, Oslo 3"
Netherlands,10,131,Eerste Divisie
International,10,133,Copa America
Austria,10,135,2. Liga
Australia,10,136,A-League
International,10,140,CONCACAF Gold Cup
Germany Amateur,10,142,Oberliga BW
Germany Amateur,10,145,Oberliga NOFV North
Germany Amateur,10,146,Oberliga Westfalen
Germany Amateur,10,150,Oberliga NOFV South
Romania,10,152,Superliga
Montenegro,10,154,1. CFL
Argentina,10,155,Liga Profesional
Austria Amateur,10,166,Regionalliga Ost
Austria Amateur,10,167,Regionalliga West
Austria Amateur,10,168,Regionalliga Centre
Belarus,10,169,Vysshaya Liga
Croatia,10,170,HNL
Cyprus,10,171,1st Division
Czechia,10,172,1. Liga
England,10,173,National League
England Amateur,10,174,National League South
Montenegro,10,175,Liga Nacional
England Amateur,10,176,National League North
Guatemala,10,177,Liga Nacional
Estonia,10,178,Premium Liiga
Finland,10,179,"Kakkonen, Group A"
Finland,10,180,"Kakkonen, Group B"
Finland,10,181,"Kakkonen, Group C"
France,10,182,Ligue 2
France,10,183,National
Germany Amateur,10,184,Hessenliga
Greece,10,185,Super League
Greece,10,186,Super League 2
Hungary,10,187,NB I
Iceland,10,188,Besta deild
Ireland,10,192,Premier Division
Ireland,10,193,First Division
Ireland,10,195,FAI Cup
Japan,10,196,J.League
Latvia,10,197,Virsliga
Lithuania,10,198,A Lyga
North Macedonia,10,199,1. MFL
Northern Ireland,10,200,Premiership
Norway,10,201,"Toppserien, Women"
Poland,10,202,Ekstraklasa
Russia,10,203,Premier League
Russia,10,204,1. Liga
Czechia,10,205,FNL
Scotland,10,206,Championship
Scotland,10,207,League 1
Guatemala,10,208,Liga Nacional Promotion/Relegation Playoff
Scotland,10,209,League 2
Serbia,10,210,Superliga
Slovakia,10,211,Superliga
Slovenia,10,212,PrvaLiga
